nr	colony	treatment	nr_measurement	date	weekday	day_since_start	week	video_order	recording_position	workers	w_yellow	w_blue	w_white	w_unmarked	pupae	incidents	death	death_external_factor	death_colorNA	death_yellow	death_blue	death_white	death_black	death_locationNA	death_nest	death_arena	sum_symptoms	clinic_colorNA	clinic_yellow	clinic_blue	clinic_white	clinic_black	slow	unresposive	posture_abnormal	moving_zigzag_limping	trembly_hinking	troubles	impaired_locomotion_pronounced	partial_paralysis	paralysis	newly_emerged_struggling	else	ants_sampled				
49	1	virus 	13	2021-03-15	Monday	31	5	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
50	2	virus 	13	2021-03-15	Monday	31	5	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
51	3	control	13	2021-03-15	Monday	31	5	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
52	4	virus 	13	2021-03-15	Monday	31	5	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
53	1	virus 	14	2021-03-17	Wednesday	33	5	4213	3	NA	NA	NA	NA	NA	NA	1	0	NA	0	0	NA	NA	0	0	0	0	1	1	0	NA	NA	0	0	0	0	0	1	0	0	0	0	0	0	0				
54	2	virus 	14	2021-03-17	Wednesday	33	5	4213	2	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
55	3	control	14	2021-03-17	Wednesday	33	5	4213	4	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
56	4	virus 	14	2021-03-17	Wednesday	33	5	4213	1	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
57	1	virus 	15	2021-03-19	Friday	35	6	4132	2	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
58	2	virus 	15	2021-03-19	Friday	35	6	4132	2	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
59	3	control	15	2021-03-19	Friday	35	6	4132	3	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
60	4	virus 	15	2021-03-19	Friday	35	6	4132	1	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
61	1	virus 	16	2021-03-22	Monday	38	6	4231	4	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
62	2	virus 	16	2021-03-22	Monday	38	6	4231	2	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
63	3	control	16	2021-03-22	Monday	38	6	4231	3	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
64	4	virus 	16	2021-03-22	Monday	38	6	4231	1	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
65	1	virus 	17	2021-03-24	Wednesday	40	6	1324	1	NA	NA	NA	NA	NA	NA	1	0	NA	0	0	NA	NA	0	0	0	0	1	1	0	NA	NA	0	0	0	0	0	0	0	0	0	1	0	0	0				
66	2	virus 	17	2021-03-24	Wednesday	40	6	1324	3	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
67	3	control	17	2021-03-24	Wednesday	40	6	1324	2	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
68	4	virus 	17	2021-03-24	Wednesday	40	6	1324	4	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
69	1	virus 	18	2021-03-26	Friday	42	7	1324	1	83	66	17	0	0	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
70	2	virus 	18	2021-03-26	Friday	42	7	1324	3	84	54	30	0	0	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
71	3	control	18	2021-03-26	Friday	42	7	1324	2	65	53	12	0	0	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
72	4	virus 	18	2021-03-26	Friday	42	7	1324	4	81	56	25	0	0	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
73	1	virus 	19	2021-03-29	Monday	45	7	4213	3	NA	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	0	0	0	0	1	1	0	0	NA	0	0	0	0	0	0	1	0	0	0	0	0	0				
74	2	virus 	19	2021-03-29	Monday	45	7	4213	2	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
75	3	control	19	2021-03-29	Monday	45	7	4213	4	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
76	4	virus 	19	2021-03-29	Monday	45	7	4213	1	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
77	1	virus 	20	2021-03-31	Wednesday	47	7	2431	4	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
78	2	virus 	20	2021-03-31	Wednesday	47	7	2431	1	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
79	3	control	20	2021-03-31	Wednesday	47	7	2431	3	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
80	4	virus 	20	2021-03-31	Wednesday	47	7	2431	2	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
81	1	virus 	21	2021-04-02	Friday	49	8	2143	2	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
82	2	virus 	21	2021-04-02	Friday	49	8	2143	1	NA	NA	NA	NA	NA	NA	1	1	NA	0	1	0	NA	0	1	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
83	3	control	21	2021-04-02	Friday	49	8	2143	4	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
84	4	virus 	21	2021-04-02	Friday	49	8	2143	3	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
85	1	virus 	22	2021-04-05	Monday	52	8	4321	4	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
86	2	virus 	22	2021-04-05	Monday	52	8	4321	3	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
87	3	control	22	2021-04-05	Monday	52	8	4321	2	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
88	4	virus 	22	2021-04-05	Monday	52	8	4321	1	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
89	1	virus 	23	2021-04-07	Wednesday	54	8	2143	2	NA	NA	NA	NA	NA	NA	3	1	NA	0	1	0	NA	0	0	0	1	2	2	0	0	NA	0	2	0	0	0	0	0	0	0	0	0	0	0				
90	2	virus 	23	2021-04-07	Wednesday	54	8	2143	1	NA	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	0	0	0	0	1	0	0	0	NA	1	0	0	0	0	0	1	0	0	0	0	0	0				
91	3	control	23	2021-04-07	Wednesday	54	8	2143	4	NA	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	0	0	0	0	1	1	0	0	NA	0	0	0	0	0	0	1	0	0	0	0	0	0				
92	4	virus 	23	2021-04-07	Wednesday	54	8	2143	3	NA	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	0	0	0	0	1	1	0	0	NA	0	0	0	0	0	1	0	0	0	0	0	0	0				
93	1	virus 	24	2021-04-09	Friday	56	9	3241	4	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
94	2	virus 	24	2021-04-09	Friday	56	9	3241	2	NA	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	0	0	0	0	1	1	0	0	NA	0	0	0	0	0	1	0	0	0	0	0	0	0				
95	3	control	24	2021-04-09	Friday	56	9	3241	1	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
96	4	virus 	24	2021-04-09	Friday	56	9	3241	3	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
