run,nr,colony,petridish,treatment,sample_type,conc,fluorescence_week1,fluorescence_week2,well,row,column,plate
2,25,C34,3.3,mid,ant,NA,12557.5,NA,E1,E,1,2.4
2,1,C34,3.4,mid,ant,NA,1735.25,NA,F1,F,1,2.4
2,2,C34,3.4,mid,ant,NA,10565.5,NA,G1,G,1,2.4
2,3,C34,3.4,mid,ant,NA,985.25,NA,H1,H,1,2.4
2,4,C34,3.4,mid,ant,NA,5823.5,NA,A2,A,2,2.4
2,5,C34,3.4,mid,ant,NA,3268,NA,B2,B,2,2.4
2,6,C34,3.4,mid,ant,NA,944.5,NA,C2,C,2,2.4
2,7,C34,3.4,mid,ant,NA,2869,NA,D2,D,2,2.4
2,8,C34,3.4,mid,ant,NA,548,NA,E2,E,2,2.4
2,9,C34,3.4,mid,ant,NA,3672.25,NA,F2,F,2,2.4
2,10,C34,3.4,mid,ant,NA,1254,NA,G2,G,2,2.4
2,11,C34,3.4,mid,ant,NA,969.5,NA,H2,H,2,2.4
2,12,C34,3.4,mid,ant,NA,3295.25,NA,A3,A,3,2.4
2,13,C34,3.4,mid,ant,NA,2872,NA,B3,B,3,2.4
2,14,C34,3.4,mid,ant,NA,2060.25,NA,C3,C,3,2.4
2,15,C34,3.4,mid,ant,NA,690.5,NA,D3,D,3,2.4
2,16,C34,3.4,mid,ant,NA,2121.5,NA,E3,E,3,2.4
2,17,C34,3.4,mid,ant,NA,1066.5,NA,F3,F,3,2.4
2,18,C34,3.4,mid,ant,NA,3132.5,NA,G3,G,3,2.4
2,19,C34,3.4,mid,ant,NA,2758.25,NA,H3,H,3,2.4
2,20,C34,3.4,mid,ant,NA,296.75,NA,A4,A,4,2.4
2,21,C34,3.4,mid,ant,NA,6360.5,NA,B4,B,4,2.4
2,22,C34,3.4,mid,ant,NA,408.5,NA,C4,C,4,2.4
2,1,C34,3.5,high,ant,NA,4474.75,NA,D4,D,4,2.4
2,2,C34,3.5,high,ant,NA,874.75,NA,E4,E,4,2.4
2,3,C34,3.5,high,ant,NA,7170.5,NA,F4,F,4,2.4
2,4,C34,3.5,high,ant,NA,4980,NA,G4,G,4,2.4
2,5,C34,3.5,high,ant,NA,5105.75,NA,H4,H,4,2.4
2,6,C34,3.5,high,ant,NA,19325.75,NA,A5,A,5,2.4
2,7,C34,3.5,high,ant,NA,2974,NA,B5,B,5,2.4
2,8,C34,3.5,high,ant,NA,4124,NA,C5,C,5,2.4
2,9,C34,3.5,high,ant,NA,5117.5,NA,D5,D,5,2.4
2,10,C34,3.5,high,ant,NA,502.25,NA,E5,E,5,2.4
2,11,C34,3.5,high,ant,NA,1588.75,NA,F5,F,5,2.4
2,12,C34,3.5,high,ant,NA,772.25,NA,G5,G,5,2.4
2,13,C34,3.5,high,ant,NA,9840.25,NA,H5,H,5,2.4
2,14,C34,3.5,high,ant,NA,3118.75,NA,A6,A,6,2.4
2,15,C34,3.5,high,ant,NA,2473.25,NA,B6,B,6,2.4
2,16,C34,3.5,high,ant,NA,4205,NA,C6,C,6,2.4
2,17,C34,3.5,high,ant,NA,819.75,NA,D6,D,6,2.4
2,18,C34,3.5,high,ant,NA,280.25,NA,E6,E,6,2.4
2,19,C34,3.5,high,ant,NA,7522.5,NA,F6,F,6,2.4
2,1,C43,3.6,control,ant,NA,12619,NA,G6,G,6,2.4
2,2,C43,3.6,control,ant,NA,651.25,NA,H6,H,6,2.4
2,3,C43,3.6,control,ant,NA,7673.75,NA,A7,A,7,2.4
2,4,C43,3.6,control,ant,NA,12654.25,NA,B7,B,7,2.4
2,5,C43,3.6,control,ant,NA,14646,NA,C7,C,7,2.4
2,6,C43,3.6,control,ant,NA,6679,NA,D7,D,7,2.4
