id	treatment_1	treatment_2	treatment	time	observation_number	active_time	initial_speed	average_speed	overall_movement	number_of_stops	datum															
L20V	low	virus	4	17:07:00	4	117.247	26	2.4051788	282	1	09.10.17															
L20V	low	virus	4	12:33:00	5	117.407	32	1.4649893	172	3	11.10.17															
L2V	low	virus	4	13:34:00	1	44.732	0	0.0894214	4	0	28.09.18															
L2V	low	virus	4	11:53:00	2	83.526	7	0.4429758	37	5	04.10.17															
L2V	low	virus	4	12:55:00	3	120	22	1.7916667	215	0	06.10.17															
L2V	low	virus	4	11:00:00	4	118.872	14	0.883303	105	1	10.10.17															
L2V	low	virus	4	14:46:00	5	115.211	17	0.7724957	89	1	11.10.17															
L4C	low	control	3	15:43:00	1	112.53	15	1.164134	131	5	02.10.17															
L4C	low	control	3	11:34:00	2	107.228	20	1.2589995	135	4	04.10.17															
L4C	low	control	3	16:25:00	3	119.483	39	2.929287	350	1	05.10.17															
L4C	low	control	3	14:00:00	4	84.55	35	1.2063868	102	6	09.10.17															
L4C	low	control	3	12:20:00	5	99.271	28	1.0375638	103	7	11.10.17															
L5V	low	virus	4	11:40:00	1	111.136	42	2.5104377	279	3	03.10.17															
L5V	low	virus	4	16:31:00	2	93.923	36	1.9164635	180	4	04.10.17															
L5V	low	virus	4	13:03:00	3	119.398	21	1.5745657	188	1	06.10.17															
L5V	low	virus	4	15:10:00	4	61.599	25	1.3961266	86	6	10.10.17															
L5V	low	virus	4	17:56:00	5	19.742	28	2.5833249	51	2	10.10.17															
L6C	low	control	3	15:07:00	1	118.193	56	3.4604418	409	1	02.10.17															
L6C	low	control	3	16:11:00	2	120	47	2.525	303	0	04.10.17															
L6C	low	control	3	15:17:00	3	118.033	53	3.2279108	381	1	05.10.17															
L6C	low	control	3	15:03:00	4	113.181	44	2.5622675	290	2	09.10.17															
L6C	low	control	3	14:33:00	5	97.735	42	3.2741597	320	5	11.10.17															
L7C	low	control	3	10:27:00	1	116.667	37	2.5199928	294	1	03.10.17															
L7C	low	control	3	17:03:00	2	114.612	44	2.0154958	231	2	04.10.17															
L7C	low	control	3	12:59:00	3	120	45	2.6916667	323	0	06.10.17															
L7C	low	control	3	14:59:00	4	119.678	24	1.7547085	210	1	09.10.17															
L7C	low	control	3	18:00:00	5	118.29	36	1.9612816	232	2	10.10.17															
L8C	low	control	3	10:06:00	1	114.197	42	2.6620664	304	2	03.10.17															
L8C	low	control	3	14:41:00	2	100.126	27	1.8876216	189	3	04.10.17															
L8C	low	control	3	17:33:00	3	109.134	30	1.6493485	180	2	05.10.17															
L8C	low	control	3	15:05:00	4	117.533	26	1.6165673	190	1	10.10.17															
L8C	low	control	3	17:09:00	5	107.6674	25	1.0216649	110	3	10.10.17															
L9V	low	virus	4	13:28:00	1	94.914	32	1.4118044	134	3	28.09.18															
L9V	low	virus	4	15:55:00	2	100.977	16	0.6833239	69	4	03.10.17															
L9V	low	virus	4	17:29:00	3	85.499	16	0.4912338	42	5	05.10.17															
L9V	low	virus	4	11:37:00	4	112.203	14	1.9072574	214	3	10.10.17															
L9V	low	virus	4	14:37:00	5	119.18	26	1.1746937	140	1	11.10.17															
																										
