ID,Colony,TagID,Container,Position,PosID,#ScanTime,Comment,
4305,c28,0x225,Box_45,A11,Box_45_A11,2024-03-25T14:29:43Z,,
4306,c28,0x009,Box_45,B11,Box_45_B11,2024-03-25T14:29:58Z,,
4307,c28,0x487,Box_45,C11,Box_45_C11,2024-03-25T14:30:11Z,,
4308,c28,0x442,Box_45,D11,Box_45_D11,2024-03-25T14:30:24Z,,
4309,c28,0x58e,Box_45,E11,Box_45_E11,2024-03-25T14:30:57Z,,
4310,c28,0x0e2,Box_45,F11,Box_45_F11,2024-03-25T14:31:10Z,,
4311,c28,0x04a,Box_45,G11,Box_45_G11,2024-03-25T14:31:27Z,,
4312,c28,0x2da,Box_45,H11,Box_45_H11,2024-03-25T14:31:36Z,,
4313,c28,0x1f2,Box_45,A12,Box_45_A12,2024-03-25T14:32:04Z,,
4314,c28,0x326,Box_45,B12,Box_45_B12,2024-03-25T14:32:12Z,,
4315,c28,0x488,Box_45,C12,Box_45_C12,2024-03-25T14:32:25Z,,
4316,c28,0x36c,Box_45,D12,Box_45_D12,2024-03-25T14:32:38Z,,
4317,c28,0x04d,Box_45,E12,Box_45_E12,2024-03-25T14:32:56Z,,
4318,c28,0x20c,Box_45,F12,Box_45_F12,2024-03-25T14:33:14Z,,
4319,c28,0x157,Box_45,G12,Box_45_G12,2024-03-25T14:33:22Z,,
4320,c28,0x76b,Box_45,H12,Box_45_H12,2024-03-25T14:33:40Z,,
4321,c28,0x22a,Box_46,A01,Box_46_A01,2024-03-25T14:37:39Z,,
4322,c28,0x4cf,Box_46,B01,Box_46_B01,2024-03-25T14:37:50Z,,
4323,c28,0x33c,Box_46,C01,Box_46_C01,2024-03-25T14:38:00Z,,
4324,c28,0x782,Box_46,D01,Box_46_D01,2024-03-25T14:38:13Z,,
4325,c28,0x60d,Box_46,E01,Box_46_E01,2024-03-25T14:38:41Z,,
4326,c28,0x4ce,Box_46,F01,Box_46_F01,2024-03-25T14:38:52Z,,
4327,c28,0x154,Box_46,G01,Box_46_G01,2024-03-25T14:39:07Z,,
4328,c28,0x219,Box_46,H01,Box_46_H01,2024-03-25T14:39:28Z,,
4329,c28,0x354,Box_46,A02,Box_46_A02,2024-03-25T14:39:56Z,,
4330,c28,0x5af,Box_46,B02,Box_46_B02,2024-03-25T14:40:12Z,,
4331,c28,0x317,Box_46,C02,Box_46_C02,2024-03-25T14:40:28Z,,
4332,c28,0x198,Box_46,D02,Box_46_D02,2024-03-25T14:40:37Z,,
4333,c28,0x515,Box_46,E02,Box_46_E02,2024-03-25T14:41:03Z,,
4334,c28,0x2a7,Box_46,F02,Box_46_F02,2024-03-25T14:41:18Z,,
4335,c28,0x556,Box_46,G02,Box_46_G02,2024-03-25T14:41:32Z,,
4336,c28,0x2b2,Box_46,H02,Box_46_H02,2024-03-25T14:41:46Z,,
4337,c28,0x573,Box_46,A03,Box_46_A03,2024-03-25T14:42:16Z,,
4338,c28,0x827,Box_46,B03,Box_46_B03,2024-03-25T14:42:36Z,,
4339,c28,0x669,Box_46,C03,Box_46_C03,2024-03-25T14:42:52Z,,
4340,c28,0x7b1,Box_46,D03,Box_46_D03,2024-03-25T14:43:10Z,,
4341,c28,0x227,Box_46,E03,Box_46_E03,2024-03-25T14:43:33Z,,
4342,c28,0x4ee,Box_46,F03,Box_46_F03,2024-03-25T14:43:48Z,,
4343,c28,0x732,Box_46,G03,Box_46_G03,2024-03-25T14:44:00Z,,
4344,c28,0x6a0,Box_46,H03,Box_46_H03,2024-03-25T14:44:12Z,,
4345,c28,0x335,Box_46,A04,Box_46_A04,2024-03-25T14:44:34Z,,
4346,c28,0x621,Box_46,B04,Box_46_B04,2024-03-25T14:44:52Z,,
4347,c28,0x64d,Box_46,C04,Box_46_C04,2024-03-25T14:45:02Z,,
4348,c28,0x0fc,Box_46,D04,Box_46_D04,2024-03-25T14:45:12Z,,
4349,c28,0x127,Box_46,E04,Box_46_E04,2024-03-25T14:45:40Z,,
4350,c28,0x034,Box_46,F04,Box_46_F04,2024-03-25T14:45:55Z,,
4351,c28,0x567,Box_46,G04,Box_46_G04,2024-03-25T14:46:07Z,,
4352,c28,0x1c0,Box_46,H04,Box_46_H04,2024-03-25T14:46:20Z,,
4353,c28,0x57b,Box_46,A05,Box_46_A05,2024-03-25T14:47:00Z,,
4354,c28,0x698,Box_46,B05,Box_46_B05,2024-03-25T14:47:19Z,,
4355,c28,0x465,Box_46,C05,Box_46_C05,2024-03-25T14:47:34Z,,
4356,c28,0x58f,Box_46,D05,Box_46_D05,2024-03-25T14:47:46Z,,
4357,c28,0x60a,Box_46,E05,Box_46_E05,2024-03-25T14:48:12Z,,
4358,c28,0x3bd,Box_46,F05,Box_46_F05,2024-03-25T14:48:37Z,,
4359,c28,0x023,Box_46,G05,Box_46_G05,2024-03-25T14:49:02Z,,
4360,c28,0x3ad,Box_46,H05,Box_46_H05,2024-03-25T14:49:26Z,,
4361,c28,0x089,Box_46,A06,Box_46_A06,2024-03-25T14:50:37Z,,
