sample_id,spore_concentration[ng/ul]
1730,0.138148739
1730,0.424578264
1730,0.239772114
1730,0.225775423
1730,0.220187415
1730,0.074202664
1730,0.425110631
1730,0.08635127
1730,0.217718141
1730,0.086785179
1730,0.081719096
1730,0.103686729
1730,0.174190915
1730,0.232960278
1730,0.107120501
1730,0.119309363
1730,0.157181128
1730,0.103427197
1730,0.422455456
1730,0.063523971
1752,0.08274955
1753,0.003028008
1754,0.004015297
1755,0.00030509
1756,0.006289751
1757,0.0017575
1758,0.001518449
1759,0.000598139
1760,0.004695079
1761,0.000831832
1762,0.000356742
1763,0.008255897
1764,0.003433938
1765,0.004042695
1766,0.008927438
1767,0.000746077
1768,0.032830535
1769,0.008172113
1770,8.26801E-05
1771,2.015963534
1772,0.004182513
1773,0.0017575
1774,0.000357957
1775,0.000260032
1776,0.003540643
1777,0.000199457
1778,0.000333289
1779,0.024175799
1780,0.01553883
1781,0.000826195
1782,0.00077188
1783,0.000594085
1784,0.001503039
1785,0.002477625
1786,0.001041103
1787,0.00014245
1788,0.013655456
1789,0.004791844
1790,0.000424289
1791,0.00190693
1792,6.21389E-05
1793,0.000291721
1794,0.032151636
1795,0.004188811
1796,0.000246359
1797,0.001389424
1798,2.647205149
1799,0.002695729
1800,0.005815302
1801,0.001173371
1802,0.000346583
1803,0.119830744
1804,0.960263133
1805,0.268099225
1806,0.000442903
1807,0.00052272
1808,0.006617613
1809,0.010735581
1810,1.82118E-05
1811,0.000320086
1812,0.000252978
1813,0.001173371
1814,0.002633915
1815,0.014854835
1816,0.003422151
1817,0.001866054
1818,0.000579274
1819,0.000477981
1820,0.021037037
1821,0.003047382
1822,0.000404995
1823,0.001131368
1824,0.004230663
434,0.001308968
435,0.005738725
436,0.00036184
437,0.0016562
438,0.001422032
439,0.003644551
440,0.002749866
441,0.000297743
442,0.002123829
443,2.53689E-05
444,0.000862558
445,0.000478415
446,0.143147017
447,0.005501966
448,1.36483E-05
449,0.002109488
450,0.00018593
451,0.000267156
452,5.18464E-05
453,0.001286431
454,0.080752276
455,0.005446335
456,0.000268062
457,0.000414969
458,0.097620319
459,9.15956E-05
460,0.000394411
461,0.000258257
462,0.01029637
463,0.000131165
464,0.009238612
465,0.002803853
466,0.000817052
467,0.002060056
468,6.86792E-05
469,0.000429267
470,0.000110354
471,0.003676621
472,0.000120923
473,8.53061E-05
474,0.000224008
475,0.000150708
476,0.275244015
477,0.000244632
478,6.01797E-05
479,0.015252454
480,0.000438081
1649,1.21684924
1650,0.035181545
1651,0.344954581
1652,0.15121263
1653,0.019819435
1654,0.008908661
1655,0.001822646
1656,0.005531043
1657,0.000819263
1658,0.062450877
1659,0.005944704
1660,0.001685215
1661,6.22243E-05
1662,0.006289904
1663,0.001089819
1664,0.002614076
1665,0.004987295
1666,0.003679281
1667,0.001524317
1668,0.026697443
1669,0.11952183
1670,0.006718053
1671,0.011557085
1672,0.001114006
1673,0.002722843
1674,0.001863097
1675,0.001788673
1676,0.004525295
1677,0.032630959
1678,0.005146167
1679,0.005870603
1680,0.074206477
1681,8.25143E-05
1682,0.002908185
1683,0.000471773
1684,0.027461646
1685,0.088174924
1686,0.001404968
1687,0.00110012
1688,0.004940597
1689,0.004584383
1690,0.000105771
1691,0.00378524
1692,0.105472706
1693,0.000783086
1694,0.001530966
1695,0.048121577
1696,0.015533363
1825,0.001470696
1826,0.004191511
1827,0.003233442
1828,0.399417515
1829,0.001100019
1830,0.001148641
1831,0.015823986
1832,0.108782096
1833,0.002612675
1834,0.002218061
1835,0.005433457
1836,0.010524637
1837,0.354078462
1838,0.001877241
1839,0.001618515
1840,0.000500332
1841,0.002065921
1842,0.011369738
1843,0.001391143
1844,0.003233442
1845,0.00255678
1846,0.001569276
1847,0.001395448
1848,0.002745068
1849,0.030651152
1850,0.006829116
1851,0.001727003
1852,0.003916088
1853,0.000446287
1854,0.041106591
1855,0.009533923
1856,0.002938132
1857,0.000379131
1858,0.020750261
1859,0.012898997
1860,0.00129746
1861,0.000758788
1862,0.003179168
1863,0.001285017
1864,0.002232841
1865,0.000720775
1866,0.000896733
1867,0.00368541
1868,0.002538983
1869,0.002442976
1870,0.001883302
1871,0.60900066
1872,0.00031978
1873,0.002981346
1874,0.003098511
1875,0.001152066
1876,0.000368327
1877,0.000479323
1878,0.001159491
1879,0.000962397
1880,0.001484863
1881,0.000827536
1882,0.005686143
1883,0.006486567
1884,0.004468779
1885,0.027528851
1886,0.000809136
1887,0.019774148
1888,0.203006592
1889,0.001285017
1890,0.00481144
1891,0.001619394
1892,0.002841101
1893,0.221399447
1894,0.236849577
1895,0.000650366
1896,0.000506225
1897,0.000865934
1898,0.000805099
1899,0.001327918
1900,0.009079751
1901,0.001647034
1902,0.000297821
1903,0.001493012
1904,0.000160598
1905,0.000209546
1906,0.000817949
1907,0.000687189
1908,0.001388123
1909,0.003670229
1910,0.000568262
1911,0.000192372
1912,0.000313302
1913,0.001881359
1914,0.007749989
1915,0.003522186
1916,0.002839757
1917,9.37376E-05
1918,0.002149022
1919,0.001332131
1920,0.005754507
1921,0.002517757
1922,0.036007906
1923,0.002408559
1924,0.000143293
1925,0.00043829
1926,0.001805472
1927,0.039974953
1928,0.000377672
1929,0.000339117
1930,0.018399284
1931,0.000165242
1932,0.000200458
1933,0.000536773
1934,0.003960082
1935,0.000669997
1936,0.001158849
1937,0.00325246
1938,0.001903156
1939,0.004163057
1940,0.000245946
1941,0.474206105
1942,0.003788846
1943,0.155147341
1944,0.001571278
1945,0.00017206
1946,0.001348832
1947,0.001660474
1948,0.001375375
1949,0.161838277
1950,0.000737223
1951,0.002931399
1952,0.000655873
1953,0.006067838
1954,0.003047904
1955,0.000749293
1956,0.000333756
1957,0.001472456
1958,0.005294094
1959,0.003448272
1960,0.021958589
1961,0.00091347
1962,0.001188358
1963,0.061083206
1964,0.001777678
1965,0.000636979
1966,0.005931442
1967,0.004471405
1968,0.019220852
1969,0.042456316
1970,0.265144131
1971,0.001161645
1972,0.005816974
1973,0.000566691
1974,0.201835419
1975,0.186700133
1976,0.001709727
1977,0.000835906
1978,0.090439216
1979,0.001867624
1980,0.002682521
1981,0.068418009
1982,0.001450924
1983,0.001389599
1984,0.000271973
1985,7.90395E-05
1986,0.002388079
1987,0.000734331
1988,0.211683319
1989,0.012571761
1990,0.107135702
1991,0.00414511
1992,0.000241318
1993,0.000168569
1994,0.001460595
1995,1.56246E-05
1996,0.000787388
1997,0.001436536
1998,0.000430148
1999,0.003534164
2000,0.000390643
2001,0.000858418
2002,0.0008699
2003,0.001037367
2004,0.001753389
2005,0.000890366
2006,0.001794639
2007,0.000632369
2008,6.56225E-05
2009,0.001855257
2010,0.006073597
2011,0.002800903
2012,0.002403998
2013,0.007147234
2014,0.001097636
2015,0.006093807
2016,0.000153088
2017,0.000546957
2018,0.000634677
2019,0.000381126
2020,0.039025193
2021,0.001875887
2022,0.00107579
2023,0.000705822
2024,0.000625749
2025,0.000643732
2026,0.000164643
2027,0.05600537
2028,0.000552799
2029,0.074086375
2030,0.012834724
2031,0.001209161
2032,0.002328251
2033,0.000500612
2034,0.001692787
2035,0.003365043
2036,0.00741282
2037,0.019150939
2038,0.025786309
2039,0.000203623
2040,0.292762275
2041,0.000529798
2042,0.000723539
2043,0.000105004
2044,0.002682583
2045,0.005603699
2046,0.001261657
2047,0.002463991
2048,0.013923951
2049,0.015705702
2050,0.055807374
2051,0.001146603
2052,0.007079268
2053,0.001363889
2054,0.00190265
2055,0.019355497
2056,0.000866771
2057,0.001729804
2058,0.048141126
2059,0.00175397
